id,label
3300,1
3301,0
3302,1
3303,0
3304,0
3305,0
3306,0
3307,1
3308,1
3309,1
3310,1
3311,1
3312,1
3313,1
3314,0
3315,0
3316,0
3317,0
3318,0
3319,0
3320,1
3321,0
3322,1
3323,0
3324,0
3325,1
3326,1
3327,1
3328,0
3329,0
3330,0
3331,0
3332,0
3333,0
3334,1
3335,0
3336,0
3337,0
3338,0
3339,0
3340,1
3341,0
3342,0
3343,0
3344,1
3345,0
3346,0
3347,1
3348,0
3349,1
3350,0
3351,1
3352,1
3353,1
3354,0
3355,0
3356,0
3357,1
3358,0
3359,0
3360,0
3361,0
3362,0
3363,0
3364,0
3365,1
3366,0
3367,0
3368,0
3369,0
3370,1
3371,1
3372,0
3373,0
3374,0
3375,1
3376,0
3377,0
3378,1
3379,0
3380,0
3381,1
3382,1
3383,0
3384,0
3385,0
3386,0
3387,0
3388,1
3389,0
3390,1
3391,1
3392,0
3393,0
3394,1
3395,0
3396,1
3397,1
3398,0
3399,0
3400,1
3401,0
3402,0
3403,1
3404,0
3405,0
3406,0
3407,1
3408,0
3409,1
3410,0
3411,1
3412,1
3413,0
3414,0
3415,0
3416,0
3417,1
3418,1
3419,0
3420,1
3421,0
3422,0
3423,0
3424,0
3425,0
3426,0
3427,0
3428,1
3429,0
3430,1
3431,0
3432,0
3433,1
3434,0
3435,0
3436,0
3437,1
3438,0
3439,0
3440,0
3441,0
3442,0
3443,1
3444,0
3445,0
3446,1
3447,0
3448,0
3449,0
3450,0
3451,1
3452,1
3453,0
3454,0
3455,0
3456,0
3457,0
3458,0
3459,1
3460,1
3461,1
3462,1
3463,1
3464,1
3465,0
3466,1
3467,1
3468,1
3469,0
3470,0
3471,1
3472,0
3473,1
3474,0
3475,0
3476,1
3477,0
3478,0
3479,0
3480,1
3481,1
3482,0
3483,0
3484,0
3485,1
3486,0
3487,0
3488,1
3489,0
3490,0
3491,0
3492,0
3493,0
3494,1
3495,0
3496,0
3497,0
3498,0
3499,0
3500,1
3501,1
3502,0
3503,0
3504,0
3505,0
3506,0
3507,0
3508,1
3509,0
3510,0
3511,0
3512,0
3513,0
3514,0
3515,0
3516,0
3517,0
3518,0
3519,0
3520,0
3521,0
3522,1
3523,1
3524,1
3525,1
3526,0
3527,1
3528,0
3529,0
3530,0
3531,1
3532,0
3533,1
3534,1
3535,0
3536,0
3537,1
3538,1
3539,1
3540,1
3541,1
3542,0
3543,1
3544,1
3545,1
3546,1
3547,0
3548,1
3549,0
3550,1
3551,0
3552,0
3553,0
3554,1
3555,0
3556,1
3557,0
3558,0
3559,0
3560,0
3561,0
3562,0
3563,0
3564,0
3565,1
3566,0
3567,1
3568,0
3569,0
3570,0
3571,1
3572,1
3573,1
3574,0
3575,1
3576,1
3577,0
3578,0
3579,1
3580,0
3581,0
3582,0
3583,1
3584,0
3585,0
3586,0
3587,0
3588,0
3589,0
3590,0
3591,0
3592,1
3593,0
3594,1
3595,0
3596,1
3597,0
3598,0
3599,0
3600,1
3601,1
3602,0
3603,0
3604,0
3605,0
3606,0
3607,0
3608,1
3609,0
3610,0
3611,1
3612,0
3613,0
3614,1
3615,1
3616,0
3617,0
3618,1
3619,1
3620,0
3621,0
3622,0
3623,0
3624,0
3625,1
3626,1
3627,0
3628,0
3629,1
3630,1
3631,0
3632,1
3633,0
3634,0
3635,1
3636,0
3637,0
3638,0
3639,0
3640,0
3641,1
3642,1
3643,0
3644,1
3645,1
3646,0
3647,0
3648,0
3649,0
3650,0
3651,0
3652,1
3653,0
3654,0
3655,1
3656,0
3657,1
3658,0
3659,1
3660,1
3661,0
3662,1
3663,0
3664,0
3665,0
3666,1
3667,1
3668,1
3669,1
3670,0
3671,1
3672,1
3673,1
3674,1
3675,0
3676,0
3677,1
3678,1
3679,0
3680,0
3681,0
3682,0
3683,0
3684,0
3685,1
3686,1
3687,0
3688,1
3689,0
3690,0
3691,1
3692,1
3693,1
3694,0
3695,1
3696,0
3697,1
3698,0
3699,0
3700,1
3701,0
3702,0
3703,1
3704,0
3705,0
3706,1
3707,0
3708,0
3709,1
3710,0
3711,1
3712,1
3713,1
3714,1
3715,1
3716,0
3717,0
3718,1
3719,1
3720,0
3721,0
3722,0
3723,0
3724,1
3725,0
3726,0
3727,0
3728,1
3729,0
3730,0
3731,0
3732,1
3733,0
3734,1
3735,0
3736,1
3737,0
3738,0
3739,0
3740,0
3741,0
3742,1
3743,0
3744,0
3745,0
3746,0
3747,0
3748,0
3749,1
3750,1
3751,1
3752,1
3753,0
3754,1
3755,1
3756,0
3757,0
3758,0
3759,1
3760,0
3761,0
3762,1
3763,1
3764,0
3765,0
3766,0
3767,0
3768,1
3769,0
3770,1
3771,0
3772,0
3773,1
3774,0
3775,0
3776,1
3777,0
3778,1
3779,0
3780,0
3781,0
3782,0
3783,0
3784,0
3785,1
3786,0
3787,1
3788,1
3789,1
3790,0
3791,0
3792,1
3793,1
3794,1
3795,1
3796,0
3797,1
3798,1
3799,1
3800,0
3801,1
3802,0
3803,1
3804,0
3805,1
3806,1
3807,1
3808,0
3809,1
3810,0
3811,0
3812,1
3813,0
3814,1
3815,1
3816,1
3817,0
3818,0
3819,1
3820,1
3821,0
3822,1
3823,0
3824,1
3825,0
3826,1
3827,1
3828,0
3829,0
3830,1
3831,0
3832,1
3833,1
3834,1
3835,1
3836,0
3837,0
3838,0
3839,1
3840,1
3841,0
3842,0
3843,1
3844,1
3845,0
3846,0
3847,0
3848,1
3849,0
3850,0
3851,0
3852,1
3853,0
3854,1
3855,0
3856,1
3857,1
3858,1
3859,1
3860,0
3861,0
3862,0
3863,0
3864,0
3865,0
3866,0
3867,0
3868,1
3869,1
3870,0
3871,0
3872,0
3873,1
3874,1
3875,1
3876,1
3877,0
3878,1
3879,1
3880,1
3881,1
3882,0
3883,1
3884,0
3885,1
3886,0
3887,1
3888,1
3889,1
3890,1
3891,1
3892,0
3893,1
3894,0
3895,0
3896,0
3897,0
3898,0
3899,0
3900,0
3901,0
3902,0
3903,0
3904,1
3905,0
3906,1
3907,1
3908,0
3909,0
3910,0
3911,1
3912,1
3913,1
3914,0
3915,1
3916,1
3917,0
3918,0
3919,0
3920,0
3921,1
3922,0
3923,0
3924,0
3925,0
3926,0
3927,0
3928,0
3929,0
3930,0
3931,0
3932,0
3933,0
3934,0
3935,1
3936,1
3937,1
3938,1
3939,1
3940,0
3941,1
3942,1
3943,0
3944,0
3945,1
3946,0
3947,0
3948,1
3949,0
3950,0
3951,0
3952,1
3953,0
3954,0
3955,1
3956,0
3957,1
3958,1
3959,0
3960,0
3961,1
